!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2025-06-13 13:13:52

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151/1

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2977.5

# wavelength (nm)	bandwidth (nm)	irradiance (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
112	673.55	1.337876	1.59	0.020027	0.026686	32097.00	2.58	32353.36	2.78
113	676.84	1.339101	1.59	0.019911	0.026301	32416.70	1.81	32679.46	3.70
114	680.13	1.340782	1.59	0.020033	0.026786	32737.65	2.35	33009.86	2.50
115	683.42	1.341822	1.59	0.019914	0.026755	33044.05	2.24	33323.36	3.61
116	686.71	1.343190	1.60	0.020043	0.026497	33362.75	2.41	33645.06	3.20
117	690.00	1.344214	1.60	0.019904	0.026745	33661.50	2.47	33950.36	2.79
118	693.29	1.344234	1.60	0.020027	0.026258	33946.05	2.11	34241.96	2.01
119	696.58	1.343088	1.60	0.019913	0.026340	34198.05	2.21	34499.96	2.65
120	699.87	1.340849	1.60	0.020041	0.026498	34408.80	2.19	34720.56	2.60
121	703.15	1.334331	1.60	0.019913	0.026619	34518.15	2.17	34827.66	3.17
122	706.44	1.324022	1.60	0.020049	0.026480	34515.70	2.47	34824.76	3.07
123	709.73	1.308466	1.60	0.019912	0.026426	34367.15	2.20	34674.26	2.55
124	713.02	1.289196	1.61	0.020036	0.026364	34101.85	1.81	34405.26	3.44
125	716.30	1.265742	1.61	0.019906	0.026501	33715.50	2.09	34012.66	2.83
126	719.59	1.239196	1.61	0.020041	0.026470	33228.70	2.22	33521.06	2.60
127	722.87	1.210430	1.61	0.019911	0.026887	32685.00	2.05	32964.96	3.07
128	726.16	1.181043	1.61	0.020029	0.027039	32106.45	1.98	32375.76	2.75
129	729.44	1.152715	1.61	0.019900	0.026425	31527.80	2.16	31793.96	2.93
130	732.73	1.123659	1.62	0.020037	0.026529	30940.50	1.87	31193.86	3.01
131	736.01	1.095202	1.62	0.019909	0.026631	30346.90	2.16	30592.66	2.42
132	739.30	1.066911	1.62	0.020041	0.026443	29740.75	2.35	29980.76	2.81
133	742.58	1.038713	1.62	0.019909	0.026519	29132.40	2.24	29359.26	2.82
134	745.86	1.011190	1.62	0.020035	0.026475	28513.65	1.89	28735.06	2.31
135	749.14	0.983820	1.63	0.019907	0.026389	27892.30	2.19	28105.76	2.68
136	752.42	0.955554	1.63	0.020030	0.026476	27250.50	1.87	27452.26	2.47
137	755.70	0.927408	1.63	0.019913	0.026685	26608.35	2.04	26795.96	2.88
138	758.98	0.899912	1.63	0.020041	0.026260	25954.25	1.67	26137.26	2.62
139	762.26	0.872598	1.64	0.019902	0.026385	25297.90	1.95	25473.26	3.15
140	765.54	0.846356	1.64	0.020040	0.026555	24668.80	1.75	24832.76	2.76
141	768.82	0.821356	1.64	0.019910	0.026650	24056.30	1.76	24213.86	2.73
142	772.10	0.798176	1.64	0.020033	0.026013	23474.80	1.78	23628.06	2.72
143	775.38	0.775927	1.65	0.019900	0.026581	22908.65	1.78	23057.06	2.04
144	778.65	0.754009	1.65	0.020037	0.026655	22352.30	1.38	22492.06	2.28
145	781.93	0.732529	1.65	0.019909	0.026663	21793.00	1.85	21930.86	2.60
146	785.20	0.710262	1.66	0.020032	0.027135	21226.20	1.69	21351.96	2.43
147	788.48	0.687940	1.66	0.019896	0.026110	20637.25	1.63	20757.46	2.89
148	791.75	0.665852	1.66	0.020031	0.026733	20051.20	1.46	20165.86	2.38
149	795.03	0.643321	1.66	0.019896	0.026758	19453.25	1.62	19559.26	1.88
150	798.30	0.622159	1.67	0.020037	0.026656	18878.95	1.54	18981.96	2.00
151	801.57	0.600653	1.67	0.019903	0.026359	18292.80	1.32	18390.36	1.86
152	804.84	0.580094	1.68	0.020035	0.026344	17722.95	1.20	17818.56	2.17
153	808.11	0.559458	1.68	0.019909	0.026334	17163.30	1.37	17247.66	2.25
154	811.38	0.540528	1.68	0.020043	0.026119	16625.70	1.28	16709.66	1.86
155	814.65	0.521710	1.69	0.019916	0.026086	16098.40	1.30	16173.76	1.74
156	817.92	0.503981	1.69	0.020038	0.026713	15593.05	1.35	15663.56	1.83
157	821.19	0.486959	1.69	0.019907	0.026503	15099.90	1.30	15169.56	2.33
158	824.46	0.470408	1.70	0.020027	0.026397	14632.80	1.66	14695.86	1.82
159	827.72	0.454639	1.70	0.019908	0.026731	14180.15	1.28	14239.66	2.31
160	830.99	0.439887	1.71	0.020033	0.026250	13751.40	1.36	13809.86	2.37
161	834.25	0.425081	1.71	0.019901	0.026541	13337.45	1.34	13385.56	2.13
162	837.52	0.411604	1.72	0.020049	0.026477	12934.90	1.15	12986.26	1.97
163	840.78	0.398801	1.72	0.019907	0.026649	12560.40	1.21	12609.96	2.14
164	844.04	0.386491	1.73	0.020039	0.026681	12196.45	1.05	12244.86	2.05
165	847.31	0.374548	1.73	0.019907	0.026374	11849.10	1.15	11892.56	2.36
166	850.57	0.362801	1.74	0.020041	0.026364	11498.15	1.10	11540.06	2.05
167	853.83	0.351520	1.74	0.019888	0.026685	11169.65	1.08	11203.76	2.30
168	857.09	0.341245	1.75	0.020034	0.026315	10846.20	1.26	10885.06	1.99
169	860.35	0.330877	1.75	0.019897	0.026531	10534.95	1.18	10569.96	2.26
170	863.60	0.320967	1.76	0.020034	0.026416	10227.25	1.27	10262.26	2.09
171	866.86	0.311352	1.76	0.019907	0.026415	9931.75	1.04	9964.66	1.96
172	870.12	0.301865	1.77	0.020043	0.026285	9637.25	1.27	9669.06	2.21
173	873.37	0.292289	1.78	0.019913	0.026403	9351.25	1.10	9379.46	1.87
174	876.63	0.282729	1.78	0.020040	0.026055	9066.25	1.15	9089.76	1.75
175	879.88	0.274133	1.79	0.019902	0.026446	8792.75	1.39	8820.56	1.99
176	883.13	0.265308	1.80	0.020039	0.026445	8524.30	1.15	8547.96	1.83
177	886.38	0.256818	1.80	0.019895	0.026535	8262.30	1.08	8283.36	1.87
178	889.63	0.248801	1.81	0.020026	0.026374	8003.30	1.22	8027.36	2.02
179	892.88	0.240826	1.82	0.019892	0.026350	7746.80	0.97	7769.36	2.07
180	896.13	0.232937	1.83	0.020041	0.026219	7493.85	0.82	7513.86	2.08
181	899.38	0.225471	1.83	0.019899	0.026227	7250.60	1.29	7269.86	1.78
182	902.63	0.217983	1.84	0.020024	0.025893	7010.50	1.01	7029.76	1.94
183	905.87	0.210286	1.85	0.019903	0.026028	6771.30	0.98	6787.06	1.95
184	909.12	0.203293	1.86	0.020029	0.026276	6538.40	0.92	6558.56	1.91
185	912.36	0.196027	1.87	0.019909	0.026689	6312.20	1.10	6328.26	1.77
186	915.61	0.189087	1.88	0.020035	0.026397	6087.85	1.16	6103.76	1.93
187	918.85	0.181912	1.88	0.019903	0.026565	5867.50	1.21	5877.26	1.85
188	922.09	0.175369	1.89	0.020035	0.026115	5653.60	1.02	5664.46	1.79
189	925.33	0.169092	1.90	0.019887	0.026238	5445.60	1.10	5458.96	1.78
190	928.57	0.162616	1.91	0.020038	0.026637	5237.40	1.10	5249.96	1.59
191	931.81	0.155585	1.92	0.019903	0.026496	5020.55	0.97	5027.56	2.10
192	935.05	0.148665	1.93	0.020026	0.026719	4792.10	1.04	4801.06	1.88
193	938.28	0.141077	1.94	0.019905	0.026161	4550.05	0.79	4556.86	1.82
