# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 14:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
725,15.318,1.2675,449.28
726,15.338,1.2361,451.05
727,15.359,1.2102,453.86
728,15.467,1.1843,456.67
729,15.595,1.1602,461.2
730,15.724,1.1478,468.78
731,15.877,1.1354,476.37
732,16.056,1.123,483.96
733,16.236,1.1158,491.55
734,16.41,1.1098,499.13
735,16.556,1.1038,506.72
736,16.702,1.0994,512.26
737,16.849,1.0967,517.01
738,16.944,1.094,521.77
739,17.029,1.0914,525.95
740,17.114,1.0895,529.31
741,17.186,1.0875,532.67
742,17.245,1.0855,535.89
743,17.304,1.0846,537.7
744,17.354,1.0838,539.51
745,17.356,1.083,541.32
746,17.358,1.0809,541.76
747,17.36,1.0776,541.81
748,17.292,1.0743,541.86
749,17.208,1.0697,540.85
750,17.125,1.0602,538.62
751,16.936,1.0507,536.4
752,16.642,1.0411,532.4
753,16.347,1.0131,518.4
754,15.983,0.98245,504.41
755,15.285,0.95185,490.41
756,14.587,0.90775,462.73
757,13.889,0.85305,432.42
758,13.189,0.79835,402.11
759,12.487,0.74748,376.08
760,11.786,0.7086,353.9
761,11.404,0.66972,331.72
762,11.313,0.63084,316.45
763,11.223,0.64677,326.24
764,11.255,0.66721,336.02
765,11.782,0.68766,345.81
766,12.309,0.723,369.85
767,12.837,0.76801,395.36
768,13.375,0.81302,420.87
769,13.915,0.85349,441.6
770,14.455,0.88281,459.11
771,14.843,0.91213,476.62
772,15.106,0.94145,490.95
773,15.37,0.95302,497.49
774,15.591,0.9641,504.04
775,15.668,0.97519,510.58
776,15.745,0.98172,511.94
777,15.823,0.98588,513.22
778,15.831,0.99005,514.49
779,15.832,0.99241,514.39
780,15.833,0.99133,513.63
781,15.793,0.99024,512.87
782,15.725,0.98909,511.43
783,15.656,0.98613,508.83
784,15.58,0.98317,506.23
785,15.488,0.98021,503.57
786,15.395,0.97627,499.96
787,15.302,0.97194,496.35
788,15.198,0.96762,492.74
789,15.093,0.96393,489.46
790,14.987,0.9612,486.28
791,14.902,0.95846,483.11
792,14.829,0.95606,480.62
793,14.756,0.95682,478.95
794,14.687,0.95758,477.28
795,14.629,0.95834,475.67
796,14.57,0.95817,474.41
797,14.511,0.95775,473.16
798,14.455,0.95733,471.9
799,14.398,0.95727,470.91
800,14.341,0.95762,469.96
801,14.294,0.95797,469.01
802,14.25,0.95823,467.96
803,14.207,0.95802,466.84
804,14.138,0.95781,465.72
805,14.027,0.95759,463.91
806,13.915,0.95022,460.16
807,13.798,0.94167,456.41
808,13.587,0.93311,452.66
809,13.375,0.91732,443.72
810,13.164,0.89562,434.58
811,12.9,0.87392,425.44
812,12.619,0.85238,415.19
813,12.338,0.83133,404.38
814,12.086,0.81029,393.57
815,11.87,0.78924,384.71
816,11.655,0.77285,379.17
817,11.459,0.75675,373.63
818,11.399,0.74066,368.52
819,11.338,0.73236,368.61
820,11.278,0.72854,368.71
821,11.293,0.72473,368.81
822,11.326,0.72116,370.76
823,11.359,0.7181,373.21
